"country","iso3c","date","gdp_grwth","gdp","gdp_for20_grwth","gdp_forc20","gdp_dollars","gdp_forc20_dollars","gap_dollars","gap_relative"
"Afghanistan","AFG",2015,NA,90.60418813623977,NA,90.60418813623977,19998156214.3988,19998156214.3988,"$0","0.0%"
"Albania","ALB",2015,NA,87.80937522267833,NA,87.80937522267833,11386850129.8411,11386850129.8411,"$0","0.00%"
"Algeria","DZA",2015,NA,93.58558750140315,NA,93.58558750140315,165979279263.174,165979279263.174,"$0","0.000%"
"American Samoa","ASM",2015,NA,107.02614379084967,NA,107.02614379084967,673000000,673000000,"$0","0%"
"Andorra","AND",2015,NA,92.71890400305098,NA,92.71890400305098,2789870187.50693,2789870187.50693,"$0","0%"
"Angola","AGO",2015,NA,104.90813970911711,NA,104.90813970911711,87219300384.5072,87219300384.5072,"$0","0.0000%"
"Antigua and Barbuda","ATG",2015,NA,81.99482288828338,NA,81.99482288828338,1336692592.59259,1336692592.59259,"$0","0.0%"
"Argentina","ARG",2015,NA,104.07708778221757,NA,104.07708778221757,594749285413.212,594749285413.212,"$0","0%"
"Armenia","ARM",2015,NA,82.01547473122375,NA,82.01547473122375,10553337672.9872,10553337672.9872,"$0","0.00%"
"Aruba","ABW",2015,NA,87.64347331281813,NA,87.64347331281813,2963128491.62011,2963128491.62011,"$0","0.000%"
"Australia","AUS",2015,NA,90.53724305606703,NA,90.53724305606703,1350615691821.28,1350615691821.28,"$0","0.00%"
"Austria","AUT",2015,NA,92.21403700762477,NA,92.21403700762477,381971148530.543,381971148530.543,"$0","0.00%"
"Azerbaijan","AZE",2015,NA,98.99621568989565,NA,98.99621568989565,53074370486.0433,53074370486.0433,"$0","0.000%"
"Bahamas, The","BHS",2015,NA,94.33097410128585,NA,94.33097410128585,11861900000,11861900000,"$0","0.00%"
"Bahrain","BHR",2015,NA,88.75352494101946,NA,88.75352494101946,31050638297.8723,31050638297.8723,"$0","0.00%"
"Bangladesh","BGD",2015,NA,75.6504407281189,NA,75.6504407281189,195078678697.23,195078678697.23,"$0","0.00%"
"Barbados","BRB",2015,NA,98.22293516174246,NA,98.22293516174246,4724691200,4724691200,"$0","0.0%"
"Belarus","BLR",2015,NA,95.66414309432584,NA,95.66414309432584,56454734396.5842,56454734396.5842,"$0","0.000%"
"Belgium","BEL",2015,NA,93.37139282223552,NA,93.37139282223552,462335574841.484,462335574841.484,"$0","0.00%"
"Belize","BLZ",2015,NA,96.17058311575292,NA,96.17058311575292,2210500000,2210500000,"$0","0.00%"
"Benin","BEN",2015,NA,80.312522560112,NA,80.312522560112,11388160997.1089,11388160997.1089,"$0","0.00%"
"Bermuda","BMU",2015,NA,97.27733194591805,NA,97.27733194591805,6654541000,6654541000,"$0","0%"
"Bhutan","BTN",2015,NA,81.08632967518353,NA,81.08632967518353,2003598212.99135,2003598212.99135,"$0","0.0%"
"Bolivia","BOL",2015,NA,86.4032662293926,NA,86.4032662293926,33000198248.3362,33000198248.3362,"$0","0.00%"
"Bosnia and Herzegovina","BIH",2015,NA,88.08490571609836,NA,88.08490571609836,16211541593.4222,16211541593.4222,"$0","0.000000000%"
"Botswana","BWA",2015,NA,83.46274229466768,NA,83.46274229466768,13530738157.7648,13530738157.7648,"$0","0.00%"
"Brazil","BRA",2015,NA,99.03988723339603,NA,99.03988723339603,1802214373741.32,1802214373741.32,"$0","0.000000000%"
"British Virgin Islands","VGB",2015,NA,NA,NA,NA,NA,NA,NA,NA
"Brunei Darussalam","BRN",2015,NA,97.37596276519322,NA,97.37596276519322,12930394937.8137,12930394937.8137,"$0","0.00%"
"Bulgaria","BGR",2015,NA,88.40219172522433,NA,88.40219172522433,50781996712.7635,50781996712.7635,"$0","0.000%"
"Burkina Faso","BFA",2015,NA,78.87249613449373,NA,78.87249613449373,11832159275.603,11832159275.603,"$0","0.00%"
"Burundi","BDI",2015,NA,96.76314975502181,NA,96.76314975502181,3104003611.42957,3104003611.42957,"$0","0.000%"
"Cabo Verde","CPV",2015,NA,83.37843754266531,NA,83.37843754266531,1596800287.16405,1596800287.16405,"$0","0.00%"
"Cambodia","KHM",2015,NA,75.96762325651096,NA,75.96762325651096,18049954289.4229,18049954289.4229,"$0","0.00%"
"Cameroon","CMR",2015,NA,85.88922089288639,NA,85.88922089288639,32210232911.6626,32210232911.6626,"$0","0%"
"Canada","CAN",2015,NA,91.76646027139094,NA,91.76646027139094,1556508816217.14,1556508816217.14,"$0","0.000%"
"Cayman Islands","CYM",2015,NA,86.67394719602243,NA,86.67394719602243,4708336733.46934,4708336733.46934,"$0","0%"
"Central African Republic","CAF",2015,NA,85.3499289203263,NA,85.3499289203263,1695825708.45604,1695825708.45604,"$0","0.00%"
"Chad","TCD",2015,NA,104.03128106801094,NA,104.03128106801094,10950392219.9104,10950392219.9104,"$0","0.0%"
"Channel Islands","CHI",2015,NA,NA,NA,NA,NA,NA,NA,NA
"Chile","CHL",2015,NA,92.52745131548053,NA,92.52745131548053,242496649874.236,242496649874.236,"$0","0.00%"
"China","CHN",2015,NA,77.37329738532151,NA,77.37329738532151,11061553079876.4,11061553079876.4,"$0","0.000%"
"Colombia","COL",2015,NA,91.31526149991375,NA,91.31526149991375,293481753078.868,293481753078.868,"$0","0.00%"
"Comoros","COM",2015,NA,88.39594073559705,NA,88.39594073559705,966029542.038859,966029542.038859,"$0","0.000000000%"
"Congo, Dem. Rep.","COD",2015,NA,85.23196492961992,NA,85.23196492961992,37917704900.0794,37917704900.0794,"$0","0.00%"
"Congo, Rep.","COG",2015,NA,123.24839457331741,NA,123.24839457331741,11890259136.1098,11890259136.1098,"$0","0.00%"
"Costa Rica","CRI",2015,NA,87.66656453052022,NA,87.66656453052022,56441917652.9812,56441917652.9812,"$0","0%"
"Cote d'Ivoire","CIV",2015,NA,76.5342826251921,NA,76.5342826251921,45814637971.4745,45814637971.4745,"$0","0.000%"
"Croatia","HRV",2015,NA,87.82800437241451,NA,87.82800437241451,50242783066.1173,50242783066.1173,"$0","0.00%"
"Cuba","CUB",2015,NA,95.72991867348189,NA,95.72991867348189,87133000000,87133000000,"$0","0%"
