"year","month","passengers"
2023,"Jan.",209349
2023,"Feb.",244092
2023,"Mar.",303565
2023,"Apr.",377771
2023,"May",386779
2023,"Jun.",431509
2023,"Jul.",NA
2023,"Aug.",NA
2023,"Sep.",NA
2023,"Oct.",NA
2023,"Nov.",NA
2023,"Dec.",NA
2022,"Jan.",120633
2022,"Feb.",116774
2022,"Mar.",41233
2022,"Apr.",17123
2022,"May",14836
2022,"Jun.",16993
2022,"Jul.",9095
2022,"Aug.",15855
2022,"Sep.",44832
2022,"Oct.",51201
2022,"Nov.",60880
2022,"Dec.",89730
2021,"Jan.",62353
2021,"Feb.",41581
2021,"Mar.",99462
2021,"Apr.",139729
2021,"May",174846
2021,"Jun.",160021
2021,"Jul.",184115
2021,"Aug.",38630
2021,"Sep.",71099
2021,"Oct.",36339
2021,"Nov.",47639
2021,"Dec.",91201
2020,"Jan.",837703
2020,"Feb.",73008
2020,"Mar.",25535
2020,"Apr.",957
2020,"May",929
2020,"Jun.",1862
2020,"Jul.",4105
2020,"Aug.",6511
2020,"Sep.",13813
2020,"Oct.",62873
2020,"Nov.",63760
2020,"Dec.",82175
2019,"Jan.",778249
2019,"Feb.",777692
2019,"Mar.",781439
2019,"Apr.",811576
2019,"May",791998
2019,"Jun.",780595
2019,"Jul.",856365
2019,"Aug.",931486
2019,"Sep.",730216
2019,"Oct.",751809
2019,"Nov.",767411
2019,"Dec.",852591
2018,"Jan.",654171
2018,"Feb.",678937
2018,"Mar.",672453
2018,"Apr.",677636
2018,"May",656299
2018,"Jun.",664984
2018,"Jul.",742714
2018,"Aug.",784590
2018,"Sep.",624760
2018,"Oct.",682552
2018,"Nov.",666755
2018,"Dec.",755561
2017,"Jan.",590827
2017,"Feb.",539011
2017,"Mar.",531692
2017,"Apr.",569948
2017,"May",560211
2017,"Jun.",559529
2017,"Jul.",668020
2017,"Aug.",688202
2017,"Sep.",547565
2017,"Oct.",612666
2017,"Nov.",614502
2017,"Dec.",683630
2016,"Jan.",539024
2016,"Feb.",589917
2016,"Mar.",516585
2016,"Apr.",535847
2016,"May",528467
2016,"Jun.",542036
2016,"Jul.",610809
2016,"Aug.",633605
2016,"Sep.",499823
2016,"Oct.",512848
2016,"Nov.",518903
2016,"Dec.",600691
2015,"Jan.",435805
2015,"Feb.",479738
2015,"Mar.",448661
2015,"Apr.",480254
2015,"May",486527
2015,"Jun.",456002
2015,"Jul.",510793
2015,"Aug.",575849
2015,"Sep.",441342
2015,"Oct.",479036
2015,"Nov.",488724
2015,"Dec.",548652
2014,"Jan.",422434
2014,"Feb.",420229
2014,"Mar.",447012
2014,"Apr.",451243
2014,"May",435387
2014,"Jun.",438873
